ligand	receptor
Mfge8	Itgb3
Mfge8	Itgb5
Mfge8	Pdgfrb
Mfng	Notch1
Mfng	Notch2
Mia	Cdh7
Mif	Ackr3
Mif	Cd44
Mif	Cd74
Mif	Cxcr2
Mif	Cxcr4
Mmp12	Plaur
Mmp13	Lrp1
Mmp14	Flt1
Mmp1a	Cd44
Mmp1a	Itga2
Mmp1b	Cd44
Mmp1b	Itga2
Mmp2	Itgav
Mmp2	Itgb1
Mmp2	Itgb3
Mmp2	Sdc2
Mmp7	Cd151
Mmp7	Cd44
Mmp7	Erbb4
Mmp9	Cd44
Mmp9	Ephb2
Mmp9	Itgb2
Mmp9	Lrp1
Mmp9	Tlr4
Mmp9	Tlr9
Mpz	Mpz
Mpz	Mpzl1
Mpzl1	Mpzl1
Mst1	Mst1r
Mstn	Acvr1b
Mstn	Acvr2a
Mstn	Acvr2b
Mstn	Tgfbr1
Muc2	Agr2
Myoc	Fzd1
Myoc	Fzd10
Myoc	Fzd3
Myoc	Fzd4
Myoc	Fzd7
Nampt	Insr
Nampt	Itga5
Nampt	Itgb1
Ncam1	Fgfr1
Ncam1	Gfra1
Ncam1	L1cam
Ncam1	Ncam1
Ncam1	Ncam2
Ncam1	Robo1
Ncam1	Robo3
Ncam2	L1cam
Ndp	Fzd4
Ndp	Lgr4
Nectin1	Cadm3
Nectin1	Cd96
Nectin1	Nectin3
Nectin1	Nectin4
Nectin2	Cd226
Nectin2	Tigit
Nectin3	Nectin1
Nectin3	Nectin2
Nectin3	Pvr
Nectin3	Tigit
Negr1	Negr1
Nfasc	Cntn1
Nfasc	Cntnap1
Ngf	Ngfr
Ngf	Ntrk1
Ngf	Ntrk3
Ngf	Sorcs2
Ngf	Sorcs3
Ngf	Sort1
Ngf	Trpv1
Nid1	Col13a1
Nid1	Itgav
Nid1	Itgb3
Nid1	Ptprf
Nid2	Col13a1
Nlgn1	Nrxn1
Nlgn1	Nrxn2
Nlgn1	Nrxn3
Nlgn2	Nrxn1
Nlgn2	Nrxn2
Nlgn2	Nrxn3
Nlgn3	Nrxn1
Nlgn3	Nrxn2
Nlgn3	Nrxn3
Nmb	Brs3
Nmb	Grpr
Nmb	Nmbr
Nms	Nmur1
Nms	Nmur2
Nmu	Nmur1
Nmu	Nmur2
Nodal	Acvr1b
Nodal	Acvr1c
Nodal	Acvr2a
Nodal	Acvr2b
Nodal	Cfc1
Npb	Npbwr1
Npff	Npffr1
Npff	Npffr2
Npnt	Itga8
Npnt	Itgb1
Nppa	Npr1
Nppa	Npr2
Nppa	Npr3
Nppb	Npr1
Nppb	Npr2
Nppb	Npr3
Nppc	Npr1
Nppc	Npr2
Nppc	Npr3
Nps	Npsr1
Nptx1	Nptxr
Nptx2	Nptxr
Npvf	Npffr1
Npvf	Npffr2
Npw	Npbwr1
Npy	Dpp4
Npy	Fap
Npy	Gpr83
Npy	Mc4r
Npy	Npffr2
Npy	Npy1r
Npy	Npy2r
Npy	Npy4r
Npy	Npy5r
Npy	Npy6r
Npy	Pgr15l
Npy	Prlhr
Nrg1	Egfr
Nrg1	Erbb2
Nrg1	Erbb3
Nrg1	Erbb4
Nrg1	Itgav
Nrg1	Itgb3
Nrg2	Erbb2
Nrg2	Erbb3
Nrg2	Erbb4
Nrg3	Erbb2
Nrg3	Erbb3
Nrg3	Erbb4
Nrg4	Erbb2
Nrg4	Erbb4
Nrtn	Gfra1
Nrtn	Gfra2
Nrtn	Gfra3
Nrtn	Ret
Nrtn	Sdc3
Nrxn1	Nlgn1
Nrxn1	Nlgn2
Nrxn1	Nlgn3
Nrxn2	Nlgn1
Nrxn2	Nlgn2
Nrxn2	Nlgn3
Nrxn3	Nlgn1
Nrxn3	Nlgn2
Nrxn3	Nlgn3
Ntf3	Ngfr
Ntf3	Ntrk1
Ntf3	Ntrk2
Ntf3	Ntrk3
Ntf5	Ngfr
Ntf5	Ntrk1
Ntf5	Ntrk2
Ntn1	Adora2b
Ntn1	Dcc
Ntn1	Mcam
Ntn1	Neo1
Ntn1	Robo3
Ntn1	Unc5a
Ntn1	Unc5b
Ntn1	Unc5c
Ntn1	Unc5d
Ntn3	Cdon
Ntn3	Dcc
Ntn3	Neo1
Ntn4	Dcc
Ntn4	Unc5a
Ntng1	Lrrc4c
Ntng2	Lrrc4
Ntng2	Lrrc4c
Nts	Ngfr
Nts	Ntsr1
Nts	Ntsr2
Nts	Sort1
Nxph1	Nrxn1
Nxph1	Nrxn2
Nxph1	Nrxn3
Nxph2	Nrxn1
Nxph3	Nrxn1
Nxph3	Nrxn2
Nxph3	Nrxn3
Ocln	Ocln
Olfm2	Robo2
Omg	Lingo1
Omg	Ngfr
Omg	Rtn4r
Omg	Rtn4rl1
Omg	Tnfrsf1b
Osm	Egfr
Osm	Il11ra1
Osm	Il6st
Osm	Lifr
Osm	Osmr
Ostn	Npr3
Oxt	Avpr1a
Oxt	Avpr1b
Oxt	Avpr2
Oxt	Oxtr
Pcsk9	Aplp2
Pcsk9	Ldlr
Pcsk9	Lrp1
Pcsk9	Lrp8
Pcsk9	Sort1
Pcsk9	Vldlr
Pdap1	Pdgfrb
Pdcd1lg2	Pdcd1
Pdcd1lg2	Pdcd2
Pdcd1lg2	Rgmb
Pdgfa	Pdgfra
Pdgfa	Pdgfrb
Pdgfb	Art1
Pdgfb	Lrp1
Pdgfb	Pdgfra
Pdgfb	Pdgfrb
Pdgfc	Flt4
Pdgfc	Kdr
Pdgfc	Pdgfra
Pdgfc	Pdgfrb
Pdgfd	Pdgfra
Pdgfd	Pdgfrb
Pdyn	Oprd1
Pdyn	Oprk1
Pdyn	Oprl1
Pdyn	Oprm1
Pecam1	Pecam1
Penk	Mrgprb2
Penk	Ogfr
Penk	Oprd1
Penk	Oprk1
Penk	Oprl1
Penk	Oprm1
Pf4	Ccr1
Pf4	Cxcr3
Pf4	Fgfr2
Pf4	Ldlr
Pf4	Lrp1
Pf4	Procr
Pf4	Sdc2
Pf4	Thbd
Pgf	Egfr
Pgf	Flt1
Pgf	Nrp1
Pgf	Nrp2
Pigf	Flt1
Pip	Cd4
Pla2g10	Pla2r1
Pla2g1b	Pla2r1
Pla2g5	Pla2r1
Plat	Itgam
Plat	Lrp1
Plau	Igf2r
Plau	Itgb2
Plau	Lrp1
Plau	Lrp2
Plau	Mrc2
Plau	Plaur
Plau	St14
Plg	F2r
Plg	F2rl1
Plg	F2rl3
Plg	F3
Plg	Igf2r
Plg	Itga9
Plg	Itgb1
Plg	Itgb2
Plg	Lrp2
Plg	Pard3
Plg	Plaur
Plg	Plgrkt
Pltp	Abca1
Pmch	Mchr1
Pmch	Mertk
Pnoc	Oprl1
Podxl2	Sell
Podxl	Sell
Pomc	Mc1r
Pomc	Mc2r
Pomc	Mc3r
Pomc	Mc4r
Pomc	Mc5r
Pomc	Oprd1
Pomc	Oprk1
Pomc	Oprl1
Pomc	Oprm1
Pon2	Htr2a
Postn	Egfr
Postn	Itga5
Postn	Itgav
Postn	Itgb1
Postn	Itgb3
Postn	Itgb5
Ppbp	Cxcr1
Ppbp	Cxcr2
Ppy	Gpr83
Ppy	Npy1r
Ppy	Npy2r
Ppy	Npy4r
Ppy	Npy5r
Ppy	Npy6r
Ppy	Pgr15l
Prg4	Cd44
Prl2a1	Prlr
Prl2b1	Prlr
Prl2c1	Prlr
Prl2c2	Prlr
Prl2c3	Prlr
Prl2c5	Prlr
Prl3a1	Prlr
Prl3b1	Prlr
Prl3c1	Prlr
Prl3d1	Prlr
Prl3d2	Prlr
Prl3d3	Prlr
Prl4a1	Prlr
Prl5a1	Prlr
Prl6a1	Prlr
Prl7a1	Prlr
Prl7a2	Prlr
Prl7b1	Prlr
Prl7c1	Prlr
Prl7d1	Prlr
Prl8a1	Prlr
Prl8a2	Pgr
Prl8a6	Prlr
Prl8a8	Prlr
Prl8a9	Prlr
Prl	Prlr
Prlh	Prlhr
Prnd	Rpsa
Proc	Procr
Proc	Thbd
Prok1	Prokr1
Prok1	Prokr2
Prok2	Prokr1
Prok2	Prokr2
Pros1	Axl
Pros1	Mertk
Pros1	Tyro3
Prss23	Tmem222
Prss2	F2r
Prss2	F2rl1
Prss2	F2rl2
Prss2	F2rl3
Prss2	Pard3
Psap	Celsr1
Psap	Gpr37
Psap	Gpr37l1
Psap	Lrp1
Psen1	Ephb2
Psen1	Erbb4
Psen1	Ncstn
Psen1	Nectin1
Psen1	Notch1
Psen1	Notch2
Psen1	Notch3
Psen1	Notch4
Psen2	Notch2
Pspn	Gfra1
Pspn	Gfra4
Pspn	Ret
Ptdss1	Jmjd6
Ptdss1	Scarb1
Ptgs2	Cav1
Ptgs2	Ptgdr2
Ptgs2	Ptger1
Ptgs2	Ptger2
Ptgs2	Ptger3
Ptgs2	Ptger4
Pth2	Pth1r
Pth2	Pth2r
Pth2	Ramp1
Pth	Lrp6
Pth	Pth1r
Pth	Pth2r
Pth	Ramp1
Pthlh	Prlhr
Pthlh	Pth1r
Pthlh	Pth2r
Ptma	Vipr1
Ptn	Alk
Ptn	Cdh10
Ptn	Itgav
Ptn	Itgb3
Ptn	Ncl
Ptn	Nrp1
Ptn	Plxnb2
Ptn	Ptprb
Ptn	Ptprs
Ptn	Ptprz1
Ptn	Sdc1
Ptn	Sdc2
Ptn	Sdc3
Ptn	Sdc4
Ptpn11	Ros1
Ptpn6	Cd22
Ptpn6	Ros1
Ptprc	Cd22
Ptprc	Mrc1
Ptprm	Ptprm
Pvr	Cd226
Pvr	Tigit
Pyy	Dpp4
Pyy	Fap
Pyy	Gpr83
Pyy	Npy1r
Pyy	Npy2r
Pyy	Npy4r
Pyy	Npy5r
Pyy	Npy6r
Pyy	Pgr15l
Qrfp	P2ry14
Qrfp	Qrfpr
Raet1a	Klrk1
Rarres2	Ccrl2
Rarres2	Cmklr1
Rarres2	Cmklr2
Rbp3	Notch1
Rbp4	Stra6
Reln	Itga2b
Reln	Itga3
Reln	Itga5
Reln	Itgb1
Reln	Itgb3
Reln	Lrp8
Reln	Notch1
Reln	Vldlr
Ren1	Atp6ap2
Retn	Cap1
Retn	Tlr4
Rgma	Neo1
Rgmb	Neo1
Rims1	Cacna1c
Rims2	Abca1
Rln1	Rxfp1
Rln1	Rxfp2
Rln1	Rxfp3
Rln1	Rxfp4
Rln3	Rxfp1
Rln3	Rxfp2
Rln3	Rxfp3
Rln3	Rxfp4
Rnase2a	Tlr2
Rnase2b	Tlr2
Rph3a	Nrxn1
Rps19	C5ar1
Rspo1	Lgr4
Rspo1	Lgr5
Rspo1	Lgr6
Rspo1	Lrp6
Rspo1	Znrf3
Rspo2	Lgr4
Rspo2	Lgr5
Rspo2	Lgr6
Rspo2	Znrf3
Rspo3	Fzd8
Rspo3	Lgr4
Rspo3	Lgr5
Rspo3	Lgr6
Rspo3	Lrp6
Rspo3	Sdc4
Rspo4	Lgr4
Rspo4	Lgr5
Rspo4	Lgr6
Rtn2	Rtn4r
Rtn3	Rtn4r
Rtn4	Cntnap1
Rtn4	Lingo1
Rtn4	Ngfr
Rtn4	Rtn4r
Rtn4	Rtn4rl2
Rtn4	S1pr2
Rtn4	Tnfrsf19
S100a10	Trpv5
S100a10	Trpv6
S100a1	Ryr1
S100a1	Ryr2
S100a1	Tlr4
S100a4	Egfr
S100a4	Erbb2
S100a8	Ly96
S100a8	Tlr4
S100a9	Ager
S100a9	Tlr4
S100b	Alcam
S100b	Fgfr1
Saa1	Fpr1
Saa1	Fpr2
Saa2	Fpr1
Saa2	Fpr2
Scgb1a1	Lmbr1l
Scgb1a1	Lrp2
Scgb3a1	Marco
Scgb3a2	Marco
Sct	Sctr
Sct	Vipr1
Sct	Vipr2
Sele	Cd44
Sele	Ceacam1
Sele	Glg1
Selenop	Lrp2
Selenop	Lrp8
Sell	Cd34
Sell	Glycam1
Sell	Madcam1
Sell	Podxl
Selplg	Cxcr2
Selplg	Sele
Selplg	Sell
Selplg	Selp
Selplg	Vsir
Sema3a	Nrp1
Sema3a	Nrp2
Sema3a	Plxna1
Sema3a	Plxna2
Sema3a	Plxna3
Sema3a	Plxna4
Sema3b	Nrp1
Sema3b	Nrp2
Sema3b	Plxna1
Sema3b	Plxna2
Sema3b	Plxna3
Sema3b	Plxna4
Sema3c	Nrp1
Sema3c	Nrp2
Sema3c	Plxna1
Sema3c	Plxna2
Sema3c	Plxna3
Sema3c	Plxna4
Sema3c	Plxnb1
Sema3c	Plxnd1
Sema3d	Nrp1
Sema3d	Nrp2
Sema3d	Plxna1
Sema3d	Plxna2
Sema3d	Plxna3
Sema3d	Plxna4
Sema3e	Nrp1
Sema3e	Plxna1
Sema3e	Plxnd1
Sema3f	Nrp1
Sema3f	Nrp2
Sema3f	Plxna1
Sema3f	Plxna2
Sema3f	Plxna3
Sema3f	Plxna4
Sema3g	Nrp2
Sema3g	Plxna1
Sema3g	Plxna2
Sema3g	Plxna3
Sema3g	Plxna4
Sema4a	Nrp1
Sema4a	Plxna1
Sema4a	Plxna2
Sema4a	Plxna3
Sema4a	Plxna4
Sema4a	Plxnb1
Sema4a	Plxnb2
Sema4a	Plxnb3
Sema4a	Plxnd1
Sema4a	Timd2
Sema4b	Dcbld2
Sema4c	Plxnb2
Sema4d	Cd72
Sema4d	Erbb2
Sema4d	Met
Sema4d	Plxna2
Sema4d	Plxnb1
Sema4d	Plxnb2
Sema4d	Plxnb3
Sema4f	Nrp2
Sema4g	Plxnb2
Sema5a	Met
Sema5a	Plxna1
Sema5a	Plxna3
Sema5a	Plxnb3
Sema5b	Plxna1
Sema5b	Plxna3
Sema6a	Plxna2
Sema6a	Plxna4
Sema6b	Plxna2
Sema6b	Plxna4
Sema6c	Plxna1
Sema6d	Kdr
Sema6d	Nrcam
Sema6d	Plxna1
Sema6d	Plxna4
Sema6d	Trem2
Sema6d	Tyrobp
Sema7a	Itga1
Sema7a	Itgb1
Sema7a	Plxnc1
Serpina1a	Lrp1
Serpina1b	Lrp1
Serpina1c	Lrp1
Serpina1d	Lrp1
Serpina1e	Lrp1
Serpina7	Slc16a2
Serpinc1	Lrp1
Serpinc1	Sdc2
Serpine1	Lrp1
Serpine1	Lrp1b
Serpine1	Lrp2
Serpine1	Plaur
Serpine1	Vldlr
Serpine2	Lrp1
Serpine2	Plaur
Serping1	Lrp1
Serping1	Sele
Serping1	Selp
Sfrp1	Fzd2
Sfrp1	Fzd6
Sfrp2	Fzd5
Sftpa1	Cd93
Sftpa1	Sirpa
Sftpa1	Tlr2
Sftpd	Ly96
Sftpd	Sirpa
Sftpd	Tlr4
Shank1	Abca1
Shank1	Sstr2
Shank3	Ret
Shbg	Cd177
Shbg	Cldn4
Shbg	Gprc6a
Shbg	Slc37a1
Shh	Boc
Shh	Cav1
Shh	Cdon
Shh	Gas1
Shh	Gpc1
Shh	Gpc5
Shh	Gpc6
Shh	Hhip
Shh	Lrp2
Shh	Ptch1
Shh	Ptch2
Shh	Pvr
Shh	Smo
Siglec1	Spn
Slamf1	Slamf1
Slamf6	Slamf6
Slamf7	Slamf7
Slit1	Flrt3
Slit1	Gpc1
Slit1	Plxna1
Slit1	Robo1
Slit1	Robo2
Slit1	Sdc1
Slit2	Gpc1
Slit2	Plxna1
Slit2	Robo1
Slit2	Robo2
Slit2	Robo3
Slit2	Robo4
Slit2	Sdc1
Slit3	Plxna1
Slit3	Robo1
Slit3	Robo2
Slit3	Robo3
Slpi	Plscr4
Slurp1	Chrna1
Slurp1	Chrna10
Slurp1	Chrna2
Slurp1	Chrna3
Slurp1	Chrna4
Slurp1	Chrna5
Slurp1	Chrna6
Slurp1	Chrna7
Slurp1	Chrna9
Slurp1	Chrnb1
Slurp1	Chrnb2
Slurp1	Chrnb3
Slurp1	Chrnb4
Slurp1	Chrnd
Slurp1	Chrne
Slurp1	Chrng
Slurp2	Chrna1
Slurp2	Chrna10
Slurp2	Chrna2
Slurp2	Chrna3
Slurp2	Chrna4
Slurp2	Chrna5
Slurp2	Chrna6
Slurp2	Chrna7
Slurp2	Chrna9
Slurp2	Chrnb1
Slurp2	Chrnb2
Slurp2	Chrnb3
Slurp2	Chrnb4
Slurp2	Chrnd
Slurp2	Chrne
Slurp2	Chrng
Sorbs1	Insr
Sost	Lrp5
Sost	Lrp6
Sostdc1	Lrp6
Spink1	Egfr
Spink1	Nrsn1
Spint1	St14
Spon1	Lrp8
Spon2	Itgb2
Spp1	Cd44
Spp1	Itga4
Spp1	Itga5
Spp1	Itga8
Spp1	Itga9
Spp1	Itgav
Spp1	Itgb1
Spp1	Itgb3
Spp1	Itgb5
Spp1	Itgb6
Spp1	S1pr1
Srpx2	Plaur
Sst	Sstr1
Sst	Sstr2
Sst	Sstr3
Sst	Sstr4
Sst	Sstr5
St6gal1	Cd22
Sytl3	Nrxn1
Tac1	Grpr
Tac1	Tacr1
Tac1	Tacr2
Tac1	Tacr3
Tac2	Tacr1
Tac2	Tacr2
Tac2	Tacr3
Tac4	Tacr1
Tac4	Tacr2
Tac4	Tacr3
Tcn2	Lrp2
Tctn1	Tmem67
Cripto	Acvr1b
Cripto	Acvr1c
Cripto	Acvr2a
Cripto	Acvr2b
Cripto	Fzd7
Cripto	Gpc1
Cripto	Lrp5
Cripto	Lrp6
Cripto	Tgfbr1
Tff2	Muc6
Tfpi	F3
Tfpi	Lrp1
Tfpi	Vldlr
Tg	Asgr1
Tg	Lrp2
Tgfa	Egfr
Tgfa	Erbb2
Tgfa	Erbb3
Tgfa	Erbb4
Tgfb1	Acvr1
Tgfb1	Acvr1b
Tgfb1	Acvr1c
Tgfb1	Acvrl1
Tgfb1	Eng
Tgfb1	Itgav
Tgfb1	Itgb1
Tgfb1	Itgb6
Tgfb1	Itgb8
Tgfb1	Sdc2
Tgfb1	Tgfbr1
Tgfb1	Tgfbr2
Tgfb1	Tgfbr3
Tgfb2	Acvr1
Tgfb2	Acvr1b
Tgfb2	Acvr1c
Tgfb2	Eng
Tgfb2	Tgfbr1
Tgfb2	Tgfbr2
Tgfb2	Tgfbr3
Tgfb3	Acvr1
Tgfb3	Acvr1b
Tgfb3	Acvr1c
Tgfb3	Acvrl1
Tgfb3	Eng
Tgfb3	Tgfbr1
Tgfb3	Tgfbr2
Tgfb3	Tgfbr3
Tgm2	Itgb1
Tgm2	Itgb3
Tgm2	Sdc4
Thbs1	Cd36
Thbs1	Cd47
Thbs1	Itga1
Thbs1	Itga2
Thbs1	Itga2b
Thbs1	Itga3
Thbs1	Itga4
Thbs1	Itga5
Thbs1	Itga6
Thbs1	Itgav
Thbs1	Itgb1
Thbs1	Itgb3
Thbs1	Itgb6
Thbs1	Itgb8
Thbs1	Lrp1
Thbs1	Lrp5
Thbs1	Ptprj
Thbs1	Scarb2
Thbs1	Sdc1
Thbs1	Sdc4
Thbs1	Tnfrsf11b
Thbs1	Vldlr
Thbs2	Cd36
Thbs2	Cd47
Thbs2	Itga3
Thbs2	Itga4
Thbs2	Itga6
Thbs2	Itgav
Thbs2	Itgb1
Thbs2	Itgb3
Thbs2	Notch3
Thbs2	Sdc1
Thbs2	Sdc4
Thbs3	Cd36
Thbs3	Cd47
Thbs3	Itga3
Thbs3	Itgav
Thbs3	Itgb1
Thbs3	Itgb3
Thbs3	Sdc1
Thbs3	Sdc4
Thbs4	Cd36
Thbs4	Cd47
Thbs4	Itga3
Thbs4	Itgav
Thbs4	Itgb1
Thbs4	Itgb3
Thbs4	Notch1
Thbs4	Sdc1
Thbs4	Sdc4
Thpo	Mpl
Thy1	Itgam
Thy1	Itgav
Thy1	Itgax
Thy1	Itgb2
Thy1	Itgb3
Tigit	Nectin2
Tigit	Pvr
Timd4	Havcr1
Timp1	Cd63
Timp1	Itgb1
Timp1	Lrp1
Timp2	Itga3
Timp2	Itgb1
Timp3	Agtr2
Timp3	Kdr
Tln1	Itgal
Tln1	Itgb1
Tln1	Itgb2
Tnc	Cntn1
Tnc	Egfr
Tnc	Itga2
Tnc	Itga2b
Tnc	Itga5
Tnc	Itga7
Tnc	Itga8
Tnc	Itga9
Tnc	Itgav
Tnc	Itgb1
Tnc	Itgb3
Tnc	Itgb6
Tnc	Ptprb
Tnc	Sdc1
Tnc	Sdc4
Tnc	Tlr4
Tnf	Cd40
Tnf	Rhbdf2
Tnf	Tnfrsf1a
Tnf	Tnfrsf1b
Tnf	Tnfrsf21
Tnf	Traf2
Tnfrsf14	Btla
Tnfrsf14	Cd160
Tnfsf10	Tnfrsf10b
Tnfsf10	Tnfrsf11b
Tnfsf11	Itga2b
Tnfsf11	Lgr4
Tnfsf11	Tnfrsf11a
Tnfsf11	Tnfrsf11b
Tnfsf12	Egfr
Tnfsf12	Tnfrsf12a
Tnfsf12	Tnfrsf25
Tnfsf13	Fas
Tnfsf13	Sdc2
Tnfsf13	Tnfrsf11b
Tnfsf13	Tnfrsf13b
Tnfsf13	Tnfrsf14
Tnfsf13	Tnfrsf17
Tnfsf13	Tnfrsf1a
Tnfsf13b	Tnfrsf13b
Tnfsf13b	Tnfrsf13c
Tnfsf13b	Tnfrsf17
Tnfsf14	Fas
Tnfsf14	Ltbr
Tnfsf14	Tnfrsf14
Tnfsf15	Tnfrsf25
Tnfsf18	Tnfrsf18
Tnfsf4	Tnfrsf4
Tnfsf4	Traf2
Tnfsf8	Tnfrsf8
Tnfsf9	Tmem126a
Tnfsf9	Tnfrsf9
Tnfsf9	Traf1
Tnfsf9	Traf2
Tnn	Itga2b
Tnn	Itga8
Tnn	Itga9
Tnn	Itgav
Tnn	Itgb1
Tnn	Itgb3
Tnn	Itgb6
Tnn	Sdc1
Tnn	Sdc4
Tnr	Itga2b
Tnr	Itga8
Tnr	Itga9
Tnr	Itgav
Tnr	Itgb1
Tnr	Itgb3
Tnr	Itgb6
Tnr	Sdc1
Tnr	Sdc4
Tnxb	Itga2b
Tnxb	Itga8
Tnxb	Itga9
Tnxb	Itgav
Tnxb	Itgb1
Tnxb	Itgb3
Tnxb	Itgb6
Tnxb	Sdc1
Tnxb	Sdc4
Trf	Tfr2
Trf	Tfrc
Trh	Trhr
Trh	Trhr2
Try10	F2r
Try10	F2rl1
Try10	F2rl2
Try10	F2rl3
Try10	Pard3
Try4	F2r
Try4	F2rl1
Try4	F2rl2
Try4	F2rl3
Try4	Pard3
Try5	F2r
Try5	F2rl1
Try5	F2rl2
Try5	F2rl3
Try5	Pard3
Tshb	Tshr
Tslp	Crlf2
Tslp	Il7r
Ucn2	Crhr1
Ucn2	Crhr2
Ucn2	Il10rb
Ucn3	Crhr1
Ucn3	Crhr2
Ucn3	Il10rb
Ucn	Crhr1
Ucn	Crhr2
Ulbp1	Hcst
Ulbp1	Klrk1
Uts2	Uts2r
Uts2b	Sstr5
Uts2b	Uts2r
Vasp	Cxcr2
Vasp	Itga4
Vcam1	Itga4
Vcam1	Itga9
Vcam1	Itgad
Vcam1	Itgb1
Vcam1	Itgb2
Vcam1	Itgb7
Vcan	Cd44
Vcan	Egfr
Vcan	Itga4
Vcan	Itgb1
Vcan	Selp
Vcan	Tlr2
Vcl	Alk
Vegfa	Axl
Vegfa	Ephb2
Vegfa	Flt1
Vegfa	Gpc1
Vegfa	Itgav
Vegfa	Itgb3
Vegfa	Kdr
Vegfa	Npr1
Vegfa	Nrp1
Vegfa	Nrp2
Vegfa	Ptprb
Vegfa	Ptprz1
Vegfa	Sdc2
Vegfb	Flt1
Vegfb	Nrp1
Vegfc	Ccbe1
Vegfc	Flt4
Vegfc	Itga9
Vegfc	Itgb1
Vegfc	Kdr
Vegfc	Nrp2
Vegfc	Vipr2
Vegfd	Fgfr2
Vegfd	Flt4
Vegfd	Itga9
Vegfd	Kdr
Vegfd	Nrp2
Vim	Cd44
Vip	Adcyap1r1
Vip	Dpp4
Vip	Npr3
Vip	Ramp1
Vip	Ramp2
Vip	Ramp3
Vip	Sctr
Vip	Vipr1
Vip	Vipr2
Vsir	Igsf11
Vtn	Itga2b
Vtn	Itga5
Vtn	Itga8
Vtn	Itgav
Vtn	Itgb1
Vtn	Itgb3
Vtn	Itgb5
Vtn	Itgb6
Vtn	Itgb8
Vtn	Plaur
Vtn	Tnfrsf11b
Vwf	Gp1ba
Vwf	Gp1bb
Vwf	Gp5
Vwf	Gp9
Vwf	Itga2
Vwf	Itga2b
Vwf	Itga4
Vwf	Itgav
Vwf	Itgb3
Vwf	Lrp1
Vwf	NA
Vwf	Stab2
Vwf	Tnfrsf11b
Wnt10a	Fzd1
Wnt10a	Fzd10
Wnt10a	Fzd2
Wnt10a	Fzd3
Wnt10a	Fzd4
Wnt10a	Fzd5
Wnt10a	Fzd6
Wnt10a	Fzd7
Wnt10a	Fzd8
Wnt10a	Fzd9
Wnt10a	Lrp5
Wnt10a	Lrp6
Wnt10b	Fzd1
Wnt10b	Fzd10
Wnt10b	Fzd2
Wnt10b	Fzd3
Wnt10b	Fzd4
Wnt10b	Fzd5
Wnt10b	Fzd6
Wnt10b	Fzd7
Wnt10b	Fzd8
Wnt10b	Fzd9
Wnt10b	Lrp5
Wnt10b	Lrp6
Wnt11	Fzd1
Wnt11	Fzd10
Wnt11	Fzd2
Wnt11	Fzd3
Wnt11	Fzd4
Wnt11	Fzd5
Wnt11	Fzd6
Wnt11	Fzd7
Wnt11	Fzd8
Wnt11	Fzd9
Wnt11	Musk
Wnt11	Ryk
Wnt16	Fzd1
Wnt16	Fzd10
Wnt16	Fzd2
Wnt16	Fzd3
Wnt16	Fzd4
Wnt16	Fzd5
Wnt16	Fzd6
Wnt16	Fzd7
Wnt16	Fzd8
Wnt16	Fzd9
Wnt16	Lrp5
Wnt16	Lrp6
Wnt1	Fzd1
Wnt1	Fzd10
Wnt1	Fzd2
Wnt1	Fzd3
Wnt1	Fzd4
Wnt1	Fzd5
Wnt1	Fzd6
Wnt1	Fzd7
Wnt1	Fzd8
Wnt1	Fzd9
Wnt1	Lrp5
Wnt1	Lrp6
Wnt1	Ryk
Wnt2	Fzd1
Wnt2	Fzd10
Wnt2	Fzd2
Wnt2	Fzd3
Wnt2	Fzd4
Wnt2	Fzd5
Wnt2	Fzd6
Wnt2	Fzd7
Wnt2	Fzd8
Wnt2	Fzd9
Wnt2	Lrp5
Wnt2	Lrp6
Wnt2b	Fzd1
Wnt2b	Fzd10
Wnt2b	Fzd2
Wnt2b	Fzd3
Wnt2b	Fzd4
Wnt2b	Fzd5
Wnt2b	Fzd6
Wnt2b	Fzd7
Wnt2b	Fzd8
Wnt2b	Fzd9
Wnt2b	Lrp5
Wnt2b	Lrp6
Wnt3	Egfr
Wnt3	Fzd1
Wnt3	Fzd10
Wnt3	Fzd2
Wnt3	Fzd3
Wnt3	Fzd4
Wnt3	Fzd5
Wnt3	Fzd6
Wnt3	Fzd7
Wnt3	Fzd8
Wnt3	Fzd9
Wnt3	Lrp5
Wnt3	Lrp6
Wnt3	Ror1
Wnt3	Ror2
Wnt3	Ryk
Wnt3a	Apcdd1
Wnt3a	Fzd1
Wnt3a	Fzd10
Wnt3a	Fzd2
Wnt3a	Fzd3
Wnt3a	Fzd4
Wnt3a	Fzd5
Wnt3a	Fzd6
Wnt3a	Fzd7
Wnt3a	Fzd8
Wnt3a	Fzd9
Wnt3a	Igf1r
Wnt3a	Lrp1
Wnt3a	Lrp5
Wnt3a	Lrp6
Wnt3a	Ptk7
Wnt3a	Ryk
Wnt4	Fzd1
Wnt4	Fzd10
Wnt4	Fzd2
Wnt4	Fzd3
Wnt4	Fzd4
Wnt4	Fzd5
Wnt4	Fzd6
Wnt4	Fzd7
Wnt4	Fzd8
Wnt4	Fzd9
Wnt4	Lrp5
Wnt4	Lrp6
Wnt4	Musk
Wnt5a	Fzd1
Wnt5a	Fzd10
Wnt5a	Fzd2
Wnt5a	Fzd3
Wnt5a	Fzd4
Wnt5a	Fzd5
Wnt5a	Fzd6
Wnt5a	Fzd7
Wnt5a	Fzd8
Wnt5a	Fzd9
